latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
-31.99054,146.74062,333.08,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,301.15,2.9,D,333.08
-31.98822,146.73096,339.95,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.71,3.88,D,339.95
-31.9878,146.73236,339.33,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.45,4.73,D,339.33
-31.98719,146.73688,342.14,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.44,4.73,D,342.14
-31.98704,146.73997,351.03,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,304.97,6.5,D,351.03
-31.98659,146.74136,341.67,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.6,9.98,D,341.67
-31.98646,146.74448,334.92,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,304.52,6.5,D,334.92
-31.98413,146.73483,344.74,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,304.25,3.88,D,344.74
-31.9837,146.73624,346.69,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,304.27,4.73,D,346.69
-31.96184,151.86482,338.16,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,287.13,3.62,D,338.16
-31.96129,151.86571,335.85,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,286.63,4.3,D,335.85
-31.95103,147.37987,335.52,0.41,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,291.87,2.63,D,335.52
-31.93695,146.76457,336.73,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.95,3.79,D,336.73
-31.85205,148.03731,330.24,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,303.26,2.2,D,330.24
-31.81018,148.54118,352.96,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,300.08,17.06,D,352.96
-31.80684,148.5405,346.47,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,293.55,10.95,D,346.47
-31.66558,152.04584,328.12,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,279.22,2.92,D,328.12
