id,text,cluster,cluster_size
87,"Fire detection: Lat=-32.429, Lon=148.503, Brightness=326.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
88,"Fire detection: Lat=-32.428, Lon=148.507, Brightness=335.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
89,"Fire detection: Lat=-32.067, Lon=151.821, Brightness=342.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
90,"Fire detection: Lat=-32.050, Lon=147.463, Brightness=332.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
91,"Fire detection: Lat=-32.047, Lon=147.463, Brightness=332.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
92,"Fire detection: Lat=-32.024, Lon=152.112, Brightness=330.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
93,"Fire detection: Lat=-32.023, Lon=152.113, Brightness=340.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
94,"Fire detection: Lat=-31.998, Lon=152.069, Brightness=327.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
95,"Fire detection: Lat=-31.991, Lon=146.736, Brightness=342.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
96,"Fire detection: Lat=-31.991, Lon=146.741, Brightness=333.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
97,"Fire detection: Lat=-31.988, Lon=146.731, Brightness=339.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
98,"Fire detection: Lat=-31.988, Lon=146.732, Brightness=339.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
99,"Fire detection: Lat=-31.987, Lon=146.737, Brightness=342.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
100,"Fire detection: Lat=-31.987, Lon=146.740, Brightness=351.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
101,"Fire detection: Lat=-31.987, Lon=146.741, Brightness=341.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
102,"Fire detection: Lat=-31.986, Lon=146.744, Brightness=334.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
103,"Fire detection: Lat=-31.984, Lon=146.735, Brightness=344.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
104,"Fire detection: Lat=-31.984, Lon=146.736, Brightness=346.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
105,"Fire detection: Lat=-31.962, Lon=151.865, Brightness=338.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
106,"Fire detection: Lat=-31.961, Lon=151.866, Brightness=335.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
107,"Fire detection: Lat=-31.951, Lon=147.380, Brightness=335.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
108,"Fire detection: Lat=-31.937, Lon=146.765, Brightness=336.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
109,"Fire detection: Lat=-31.852, Lon=148.037, Brightness=330.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
110,"Fire detection: Lat=-31.810, Lon=148.541, Brightness=353.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
111,"Fire detection: Lat=-31.807, Lon=148.541, Brightness=346.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
